Unnamed: 0,title,year,certificate,time,genre,rating,metascore,simple_desc,votes,directors,actors
27,"32.
Life Is Beautiful
(1997)",(1997),PG-13,116 min,"Comedy, Drama, Romance",8.6,"59        
        Metascore","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Votes:
706,962
| Gross:
$57.60M
| Top 250:
#26",Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']"
28,"33.
Seven Samurai
(1954)",(1954),Not Rated,207 min,"Action, Drama",8.6,"98        
        Metascore","Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","Votes:
350,969
| Gross:
$0.27M
| Top 250:
#21",Akira Kurosawa,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']"
29,"34.
It's a Wonderful Life
(1946)",(1946),PG,130 min,"Drama, Family, Fantasy",8.6,"89        
        Metascore",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Votes:
469,672
| Top 250:
#20",Frank Capra,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']"
30,"35.
Harakiri
(1962)",(1962),Not Rated,133 min,"Action, Drama, Mystery",8.6,"85        
        Metascore","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","Votes:
60,098
| Top 250:
#45",Masaki Kobayashi,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurô Tanba']"
31,"37.
Gladiator
(2000)",(2000),R,155 min,"Action, Adventure, Drama",8.5,"67        
        Metascore",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Votes:
1,525,538
| Gross:
$187.71M
| Top 250:
#37",Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']"
32,"38.
Parasite
(2019)",(2019),R,132 min,"Drama, Thriller",8.5,"96        
        Metascore",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"Votes:
841,164
| Gross:
$53.37M
| Top 250:
#34",Bong Joon Ho,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-sik']"
33,"39.
Whiplash
(2014)",(2014),R,106 min,"Drama, Music",8.5,"89        
        Metascore",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Votes:
893,324
| Gross:
$13.09M
| Top 250:
#40",Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']"
34,"40.
The Departed
(2006)",(2006),R,151 min,"Crime, Drama, Thriller",8.5,"85        
        Metascore",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Votes:
1,347,400
| Gross:
$132.38M
| Top 250:
#39",Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']"
35,"41.
Back to the Future
(1985)",(1985),PG,116 min,"Adventure, Comedy, Sci-Fi",8.5,"87        
        Metascore","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Votes:
1,228,850
| Gross:
$210.61M
| Top 250:
#30",Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']"
36,"42.
The Prestige
(2006)",(2006),PG-13,130 min,"Drama, Mystery, Sci-Fi",8.5,"66        
        Metascore","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Votes:
1,355,698
| Gross:
$53.09M
| Top 250:
#41",Christopher Nolan,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']"
37,"43.
Alien
(1979)",(1979),R,117 min,"Horror, Sci-Fi",8.5,"89        
        Metascore",The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,"Votes:
897,441
| Gross:
$78.90M
| Top 250:
#51",Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']"
38,"44.
Léon: The Professional
(1994)",(1994),R,110 min,"Action, Crime, Drama",8.5,"64        
        Metascore","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Votes:
1,181,218
| Gross:
$19.50M
| Top 250:
#35",Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']"
39,"45.
Psycho
(1960)",(1960),R,109 min,"Horror, Mystery, Thriller",8.5,"97        
        Metascore","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.","Votes:
683,029
| Gross:
$32.00M
| Top 250:
#33",Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']"
40,"46.
Apocalypse Now
(1979)",(1979),R,147 min,"Drama, Mystery, War",8.5,"94        
        Metascore",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Votes:
678,378
| Gross:
$83.47M
| Top 250:
#53",Francis Ford Coppola,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']"
41,"47.
The Lion King
(1994)",(1994),G,88 min,"Animation, Adventure, Drama",8.5,"88        
        Metascore","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Votes:
1,077,449
| Gross:
$422.78M
| Top 250:
#36",Roger Allers,"['Rob Minkoff', 'Matthew Broderick', 'Jeremy Irons', 'James Earl Jones']"
42,"48.
The Pianist
(2002)",(2002),R,150 min,"Biography, Drama, Music",8.5,"85        
        Metascore",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Votes:
849,007
| Gross:
$32.57M
| Top 250:
#32",Roman Polanski,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']"
43,"49.
The Usual Suspects
(1995)",(1995),R,106 min,"Crime, Drama, Mystery",8.5,"77        
        Metascore","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Votes:
1,099,216
| Gross:
$23.34M
| Top 250:
#42",Bryan Singer,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']"
44,"50.
American History X
(1998)",(1998),R,119 min,"Crime, Drama",8.5,"62        
        Metascore",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"Votes:
1,137,653
| Gross:
$6.72M
| Top 250:
#38",Tony Kaye,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']"
45,"51.
The Intouchables
(2011)",(2011),R,112 min,"Biography, Comedy, Drama",8.5,"57        
        Metascore","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Votes:
875,504
| Gross:
$13.18M
| Top 250:
#46",Olivier Nakache,"['Éric Toledano', 'François Cluzet', 'Omar Sy', 'Anne Le Ny']"
46,"52.
Once Upon a Time in the West
(1968)",(1968),PG-13,165 min,Western,8.5,"82        
        Metascore",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"Votes:
335,254
| Gross:
$5.32M
| Top 250:
#48",Sergio Leone,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']"
47,"53.
Casablanca
(1942)",(1942),PG,102 min,"Drama, Romance, War",8.5,"100        
        Metascore",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"Votes:
580,422
| Gross:
$1.02M
| Top 250:
#43",Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']"
48,"54.
Grave of the Fireflies
(1988)",(1988),Not Rated,89 min,"Animation, Drama, War",8.5,"94        
        Metascore",A young boy and his little sister struggle to survive in Japan during World War II.,"Votes:
284,663
| Top 250:
#44",Isao Takahata,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi', 'Yoshiko Shinohara']"
49,"55.
Rear Window
(1954)",(1954),PG,112 min,"Mystery, Thriller",8.5,"100        
        Metascore","A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","Votes:
499,307
| Gross:
$36.76M
| Top 250:
#50",Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']"
50,"56.
Cinema Paradiso
(1988)",(1988),R,155 min,"Drama, Romance",8.5,"80        
        Metascore",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Votes:
266,500
| Gross:
$11.99M
| Top 250:
#49",Giuseppe Tornatore,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili', 'Isa Danieli']"
51,"58.
Modern Times
(1936)",(1936),G,87 min,"Comedy, Drama, Romance",8.5,"96        
        Metascore",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Votes:
246,853
| Gross:
$0.16M
| Top 250:
#47",Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']"
52,"59.
City Lights
(1931)",(1931),G,87 min,"Comedy, Drama, Romance",8.5,"99        
        Metascore","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Votes:
187,595
| Gross:
$0.02M
| Top 250:
#52",Charles Chaplin,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers']"
53,"61.
Joker
(I) (2019)",(I) (2019),R,122 min,"Crime, Drama, Thriller",8.4,"59        
        Metascore","The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.","Votes:
1,336,395
| Gross:
$335.45M
| Top 250:
#76",Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']"
54,"62.
Spider-Man: Into the Spider-Verse
(2018)",(2018),PG,117 min,"Animation, Action, Adventure",8.4,"87        
        Metascore","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Votes:
553,048
| Gross:
$190.24M
| Top 250:
#66",Bob Persichetti,"['Peter Ramsey', 'Rodney Rothman', 'Shameik Moore', 'Jake Johnson']"
55,"63.
Avengers: Endgame
(2019)",(2019),PG-13,181 min,"Action, Adventure, Drama",8.4,"78        
        Metascore","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Votes:
1,166,041
| Gross:
$858.37M
| Top 250:
#78",Anthony Russo,"['Joe Russo', 'Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']"
56,"64.
Django Unchained
(2012)",(2012),R,165 min,"Drama, Western",8.4,"81        
        Metascore","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","Votes:
1,587,135
| Gross:
$162.81M
| Top 250:
#55",Quentin Tarantino,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington']"
57,"65.
American Beauty
(1999)",(1999),R,122 min,Drama,8.4,"84        
        Metascore",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Votes:
1,168,626
| Gross:
$130.10M
| Top 250:
#67",Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']"
58,"66.
Raiders of the Lost Ark
(1981)",(1981),PG,115 min,"Action, Adventure",8.4,"85        
        Metascore","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","Votes:
980,792
| Gross:
$248.16M
| Top 250:
#56",Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']"
59,"67.
The Shining
(1980)",(1980),R,146 min,"Drama, Horror",8.4,"66        
        Metascore","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Votes:
1,041,578
| Gross:
$44.02M
| Top 250:
#61",Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']"
60,"68.
Oldboy
(2003)",(2003),R,120 min,"Action, Drama, Mystery",8.4,"77        
        Metascore","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Votes:
591,654
| Gross:
$0.71M
| Top 250:
#70",Park Chan-wook,"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']"
61,"69.
Your Name.
(2016)",(2016),PG,106 min,"Animation, Drama, Fantasy",8.4,"79        
        Metascore","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Votes:
280,762
| Gross:
$5.02M
| Top 250:
#82",Makoto Shinkai,"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita', 'Aoi Yûki']"
62,"70.
The Dark Knight Rises
(2012)",(2012),PG-13,164 min,"Action, Drama, Thriller",8.4,"78        
        Metascore","Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.","Votes:
1,731,024
| Gross:
$448.14M
| Top 250:
#69",Christopher Nolan,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']"
63,"71.
Avengers: Infinity War
(2018)",(2018),PG-13,149 min,"Action, Adventure, Sci-Fi",8.4,"68        
        Metascore",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Votes:
1,110,656
| Gross:
$678.82M
| Top 250:
#63",Anthony Russo,"['Joe Russo', 'Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']"
64,"72.
Braveheart
(1995)",(1995),R,178 min,"Biography, Drama, History",8.4,"68        
        Metascore",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Votes:
1,050,994
| Gross:
$75.60M
| Top 250:
#75",Mel Gibson,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']"
65,"73.
Memento
(2000)",(2000),R,113 min,"Mystery, Thriller",8.4,"81        
        Metascore",A man with short-term memory loss attempts to track down his wife's murderer.,"Votes:
1,256,634
| Gross:
$25.54M
| Top 250:
#54",Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']"
66,"74.
Aliens
(1986)",(1986),R,137 min,"Action, Adventure, Sci-Fi",8.4,"84        
        Metascore","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","Votes:
728,499
| Gross:
$85.16M
| Top 250:
#65",James Cameron,"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn', 'Paul Reiser']"
67,"76.
Coco
(I) (2017)",(I) (2017),PG,105 min,"Animation, Adventure, Comedy",8.4,"81        
        Metascore","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Votes:
527,043
| Gross:
$209.73M
| Top 250:
#73",Lee Unkrich,"['Adrian Molina', 'Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']"
68,"77.
WALL·E
(2008)",(2008),G,98 min,"Animation, Adventure, Family",8.4,"95        
        Metascore","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Votes:
1,135,123
| Gross:
$223.81M
| Top 250:
#57",Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard']"
69,"78.
Amadeus
(1984)",(1984),R,160 min,"Biography, Drama, Music",8.4,"88        
        Metascore","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.","Votes:
407,726
| Gross:
$51.97M
| Top 250:
#72",Wolfgang Amadeus Mozart,"['Antonio Salieri', 'Milos Forman', 'F. Murray Abraham', 'Tom Hulce']"
