Unnamed: 0,title,year,certificate,time,genre,rating,metascore,simple_desc,votes,directors,actors
30,"137.
The Father
(I) (2020)",(I) (2020),PG-13,97 min,"Drama, Mystery",8.2,"88        
        Metascore","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","Votes:
162,825
| Top 250:
#130",Florian Zeller,"['Anthony Hopkins', 'Olivia Colman']"
31,"138.
A Beautiful Mind
(2001)",(2001),PG-13,135 min,"Biography, Drama",8.2,"72        
        Metascore","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Votes:
943,322
| Gross:
$170.74M
| Top 250:
#143",John Nash,"['Ron Howard', 'Russell Crowe']"
32,"139.
The Thing
(1982)",(1982),R,109 min,"Horror, Mystery, Sci-Fi",8.2,"57        
        Metascore",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Votes:
433,483
| Gross:
$13.78M
| Top 250:
#153",John Carpenter,"['Kurt Russell', 'Wilford Brimley']"
33,"140.
Pan's Labyrinth
(2006)",(2006),R,118 min,"Drama, Fantasy, War",8.2,"98        
        Metascore","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Votes:
676,610
| Gross:
$37.63M
| Top 250:
#139",Guillermo del Toro,"['Ivana Baquero', 'Ariadna Gil']"
34,"141.
Howl's Moving Castle
(2004)",(2004),PG,119 min,"Animation, Adventure, Family",8.2,"82        
        Metascore","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Votes:
405,091
| Gross:
$4.71M
| Top 250:
#164",Hayao Miyazaki,"['Chieko Baisho', 'Takuya Kimura']"
35,"142.
The Truman Show
(1998)",(1998),PG,103 min,"Comedy, Drama",8.2,"90        
        Metascore",An insurance salesman discovers his whole life is actually a reality TV show.,"Votes:
1,103,121
| Gross:
$125.62M
| Top 250:
#137",Peter Weir,"['Jim Carrey', 'Ed Harris']"
36,"143.
Casino
(1995)",(1995),R,178 min,"Crime, Drama",8.2,"73        
        Metascore","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.","Votes:
529,217
| Gross:
$42.44M
| Top 250:
#136",Martin Scorsese,"['Robert De Niro', 'Sharon Stone']"
37,"144.
Lock, Stock and Two Smoking Barrels
(1998)",(1998),R,107 min,"Action, Comedy, Crime",8.2,"66        
        Metascore","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","Votes:
590,459
| Gross:
$3.90M
| Top 250:
#160",Guy Ritchie,"['Jason Flemyng', 'Dexter Fletcher']"
38,"145.
Gone with the Wind
(1939)",(1939),Passed,238 min,"Drama, Romance, War",8.2,"97        
        Metascore",American motion picture classic in which a manipulative woman and a roguish man conduct a turbulent romance during the Civil War and Reconstruction periods.,"Votes:
320,127
| Gross:
$198.68M
| Top 250:
#159",Victor Fleming,"['George Cukor', 'Sam Wood']"
39,"146.
Die Hard
(1988)",(1988),R,132 min,"Action, Thriller",8.2,"72        
        Metascore",A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Votes:
895,139
| Gross:
$83.01M
| Top 250:
#117",John McTiernan,"['Bruce Willis', 'Alan Rickman']"
40,"147.
L.A. Confidential
(1997)",(1997),R,138 min,"Crime, Drama, Mystery",8.2,"91        
        Metascore","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","Votes:
589,176
| Gross:
$64.62M
| Top 250:
#116",Curtis Hanson,"['Kevin Spacey', 'Russell Crowe']"
41,"148.
Some Like It Hot
(1959)",(1959),Passed,121 min,"Comedy, Music, Romance",8.2,"98        
        Metascore","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Votes:
271,221
| Gross:
$25.00M
| Top 250:
#129",Billy Wilder,"['Marilyn Monroe', 'Tony Curtis']"
42,"149.
Unforgiven
(1992)",(1992),R,130 min,"Drama, Western",8.2,"85        
        Metascore","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","Votes:
417,408
| Gross:
$101.16M
| Top 250:
#140",Clint Eastwood,"['Clint Eastwood', 'Gene Hackman']"
43,"150.
Finding Nemo
(2003)",(2003),G,100 min,"Animation, Adventure, Comedy",8.2,"90        
        Metascore","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Votes:
1,057,066
| Gross:
$380.84M
| Top 250:
#154",Andrew Stanton,"['Lee Unkrich', 'Albert Brooks']"
0,"151.
V for Vendetta
(2005)",(2005),R,132 min,"Action, Drama, Sci-Fi",8.2,"62        
        Metascore","In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.","Votes:
1,133,347
| Gross:
$70.51M
| Top 250:
#158",James McTeigue,"['Hugo Weaving', 'Natalie Portman']"
1,"152.
Chinatown
(1974)",(1974),R,130 min,"Drama, Mystery, Thriller",8.2,"92        
        Metascore","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","Votes:
331,840
| Gross:
$8.49M
| Top 250:
#156",Roman Polanski,"['Jack Nicholson', 'Faye Dunaway']"
2,"153.
Warrior
(2011)",(2011),PG-13,140 min,"Action, Drama, Sport",8.2,"71        
        Metascore","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Votes:
478,813
| Gross:
$13.66M
| Top 250:
#169",Gavin O'Connor,"['Tom Hardy', 'Nick Nolte']"
3,"154.
Raging Bull
(1980)",(1980),R,129 min,"Biography, Drama, Sport",8.2,"89        
        Metascore","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Votes:
359,617
| Gross:
$23.38M
| Top 250:
#157",Jake LaMotta,"['Martin Scorsese', 'Robert De Niro']"
4,"155.
Downfall
(2004)",(2004),R,156 min,"Biography, Drama, History",8.2,"82        
        Metascore","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Votes:
359,970
| Gross:
$5.51M
| Top 250:
#124",Traudl Junge,"['Adolf Hitler', 'Oliver Hirschbiegel']"
5,"156.
The Elephant Man
(1980)",(1980),PG,124 min,"Biography, Drama",8.2,"78        
        Metascore","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","Votes:
245,537
| Top 250:
#155",David Lynch,"['Anthony Hopkins', 'John Hurt']"
6,"157.
Monty Python and the Holy Grail
(1975)",(1975),PG,91 min,"Adventure, Comedy, Fantasy",8.2,"91        
        Metascore","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Votes:
548,030
| Gross:
$1.23M
| Top 250:
#147",Terry Gilliam,"['Terry Jones', 'Graham Chapman']"
7,"158.
The Great Escape
(1963)",(1963),Approved,172 min,"Adventure, Drama, History",8.2,"86        
        Metascore",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"Votes:
247,814
| Gross:
$12.10M
| Top 250:
#149",John Sturges,"['Steve McQueen', 'James Garner']"
8,"159.
The Secret in Their Eyes
(2009)",(2009),R,129 min,"Drama, Mystery, Romance",8.2,"80        
        Metascore",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,"Votes:
212,581
| Gross:
$6.39M
| Top 250:
#163",Juan José Campanella,"['Ricardo Darín', 'Soledad Villamil']"
9,"160.
The Bridge on the River Kwai
(1957)",(1957),PG,161 min,"Adventure, Drama, War",8.2,"87        
        Metascore","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","Votes:
223,983
| Gross:
$44.91M
| Top 250:
#167",David Lean,"['William Holden', 'Alec Guinness']"
10,"161.
Ran
(1985)",(1985),R,162 min,"Action, Drama, War",8.2,"96        
        Metascore","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Votes:
127,828
| Gross:
$4.14M
| Top 250:
#135",Akira Kurosawa,"['Tatsuya Nakadai', 'Akira Terao']"
11,"162.
For a Few Dollars More
(1965)",(1965),R,132 min,Western,8.2,"74        
        Metascore",Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,"Votes:
260,654
| Gross:
$15.00M
| Top 250:
#126",Sergio Leone,"['Clint Eastwood', 'Lee Van Cleef']"
12,"163.
All About Eve
(1950)",(1950),Passed,138 min,Drama,8.2,"98        
        Metascore",A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,"Votes:
133,037
| Gross:
$0.01M
| Top 250:
#131",Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter']"
13,"164.
Rashomon
(1950)",(1950),Not Rated,88 min,"Crime, Drama, Mystery",8.2,"98        
        Metascore","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Votes:
171,278
| Gross:
$0.10M
| Top 250:
#151",Akira Kurosawa,"['Toshirô Mifune', 'Machiko Kyô']"
14,"165.
Klaus
(2019)",(2019),PG,96 min,"Animation, Adventure, Comedy",8.2,"65        
        Metascore","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Votes:
163,502
| Top 250:
#178",Sergio Pablos,"['Carlos Martínez López', 'Jason Schwartzman']"
15,"166.
The Treasure of the Sierra Madre
(1948)",(1948),Passed,126 min,"Adventure, Drama, Western",8.2,"98        
        Metascore",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Votes:
126,713
| Gross:
$5.01M
| Top 250:
#146",John Huston,"['Humphrey Bogart', 'Walter Huston']"
16,"167.
Dial M for Murder
(1954)",(1954),PG,105 min,"Crime, Thriller",8.2,"75        
        Metascore",A former tennis star arranges the murder of his adulterous wife.,"Votes:
178,896
| Gross:
$0.01M
| Top 250:
#161",Alfred Hitchcock,"['Ray Milland', 'Grace Kelly']"
17,"168.
Yojimbo
(1961)",(1961),Not Rated,110 min,"Action, Drama, Thriller",8.2,"93        
        Metascore",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Votes:
124,807
| Top 250:
#145",Akira Kurosawa,"['Toshirô Mifune', 'Eijirô Tôno']"
18,"169.
Tokyo Story
(1953)",(1953),Not Rated,136 min,Drama,8.2,"100        
        Metascore","An old couple visit their children and grandchildren in the city, but receive little attention.","Votes:
63,350
| Top 250:
#207",Yasujirô Ozu,"['Chishû Ryû', 'Chieko Higashiyama']"
19,"170.
Children of Heaven
(1997)",(1997),PG,89 min,"Drama, Family, Sport",8.2,"77        
        Metascore","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Votes:
75,960
| Gross:
$0.93M
| Top 250:
#175",Majid Majidi,"['Mohammad Amir Naji', 'Amir Farrokh Hashemian']"
20,"171.
To Be or Not to Be
(1942)",(1942),Passed,99 min,"Comedy, Romance, War",8.2,"86        
        Metascore","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","Votes:
39,031
| Top 250:
#228",Ernst Lubitsch,"['Carole Lombard', 'Jack Benny']"
21,"172.
The Passion of Joan of Arc
(1928)",(1928),Passed,114 min,"Biography, Drama, History",8.2,"98        
        Metascore","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Votes:
56,599
| Gross:
$0.02M
| Top 250:
#208",Carl Theodor Dreyer,"['Maria Falconetti', 'Eugene Silvain']"
22,"174.
The Wages of Fear
(1953)",(1953),Not Rated,131 min,"Adventure, Drama, Thriller",8.2,"85        
        Metascore","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Votes:
62,637
| Top 250:
#193",Henri-Georges Clouzot,"['Yves Montand', 'Charles Vanel']"
23,"177.
The Help
(2011)",(2011),PG-13,146 min,Drama,8.1,"62        
        Metascore","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.","Votes:
467,288
| Gross:
$169.71M
| Top 250:
#246",Tate Taylor,"['Viola Davis', 'Emma Stone']"
24,"178.
Rocky
(1976)",(1976),PG,120 min,"Drama, Sport",8.1,"70        
        Metascore",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"Votes:
590,894
| Gross:
$117.24M
| Top 250:
#211",John G. Avildsen,"['Sylvester Stallone', 'Talia Shire']"
25,"179.
Prisoners
(2013)",(2013),R,153 min,"Crime, Drama, Mystery",8.1,"70        
        Metascore","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Votes:
734,322
| Gross:
$61.00M
| Top 250:
#168",Denis Villeneuve,"['Hugh Jackman', 'Jake Gyllenhaal']"
26,"180.
Three Billboards Outside Ebbing, Missouri
(2017)",(2017),R,115 min,"Comedy, Crime, Drama",8.1,"88        
        Metascore",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"Votes:
519,792
| Gross:
$54.51M
| Top 250:
#165",Martin McDonagh,"['Frances McDormand', 'Woody Harrelson']"
27,"181.
Stand by Me
(1986)",(1986),R,89 min,"Adventure, Drama",8.1,"75        
        Metascore","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.","Votes:
412,449
| Gross:
$52.29M
| Top 250:
#217",Rob Reiner,"['Wil Wheaton', 'River Phoenix']"
28,"182.
Pirates of the Caribbean: The Curse of the Black Pearl
(2003)",(2003),PG-13,143 min,"Action, Adventure, Fantasy",8.1,"63        
        Metascore","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Votes:
1,142,897
| Gross:
$305.41M
| Top 250:
#230",Gore Verbinski,"['Johnny Depp', 'Geoffrey Rush']"
29,"183.
Mad Max: Fury Road
(2015)",(2015),R,120 min,"Action, Adventure, Sci-Fi",8.1,"90        
        Metascore","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","Votes:
1,019,232
| Gross:
$154.06M
| Top 250:
#198",George Miller,"['Tom Hardy', 'Charlize Theron']"
30,"184.
Catch Me If You Can
(2002)",(2002),PG-13,141 min,"Biography, Crime, Drama",8.1,"75        
        Metascore","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Votes:
1,006,323
| Gross:
$164.62M
| Top 250:
#173",Steven Spielberg,"['Leonardo DiCaprio', 'Tom Hanks']"
31,"185.
Ford v Ferrari
(2019)",(2019),PG-13,152 min,"Action, Biography, Drama",8.1,"81        
        Metascore",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Votes:
408,650
| Gross:
$117.62M
| Top 250:
#209",Carroll Shelby,"['Ken Miles', 'James Mangold']"
32,"186.
Hacksaw Ridge
(2016)",(2016),R,139 min,"Biography, Drama, History",8.1,"71        
        Metascore","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Votes:
540,833
| Gross:
$67.21M
| Top 250:
#192",Desmond T. Doss,"['Mel Gibson', 'Andrew Garfield']"
33,"187.
Blade Runner
(1982)",(1982),R,117 min,"Action, Drama, Sci-Fi",8.1,"84        
        Metascore",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"Votes:
780,895
| Gross:
$32.87M
| Top 250:
#176",Ridley Scott,"['Harrison Ford', 'Rutger Hauer']"
34,"188.
Gone Girl
(2014)",(2014),R,149 min,"Drama, Mystery, Thriller",8.1,"79        
        Metascore","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Votes:
998,978
| Gross:
$167.77M
| Top 250:
#185",David Fincher,"['Ben Affleck', 'Rosamund Pike']"
35,"189.
The Grand Budapest Hotel
(2014)",(2014),R,99 min,"Adventure, Comedy, Crime",8.1,"88        
        Metascore","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Votes:
827,159
| Gross:
$59.10M
| Top 250:
#184",Wes Anderson,"['Ralph Fiennes', 'F. Murray Abraham']"
36,"190.
Harry Potter and the Deathly Hallows: Part 2
(2011)",(2011),PG-13,130 min,"Adventure, Family, Fantasy",8.1,"85        
        Metascore","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Votes:
891,221
| Gross:
$381.01M
| Top 250:
#180",David Yates,"['Daniel Radcliffe', 'Emma Watson']"
37,"191.
Spotlight
(I) (2015)",(I) (2015),R,129 min,"Biography, Crime, Drama",8.1,"93        
        Metascore","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Votes:
477,914
| Gross:
$45.06M
| Top 250:
#214",Tom McCarthy,"['Mark Ruffalo', 'Michael Keaton']"
38,"192.
The Big Lebowski
(1998)",(1998),R,117 min,"Comedy, Crime",8.1,"71        
        Metascore","Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.","Votes:
819,805
| Gross:
$17.50M
| Top 250:
#206",Joel Coen,"['Ethan Coen', 'Jeff Bridges']"
39,"193.
Platoon
(1986)",(1986),R,120 min,"Drama, War",8.1,"92        
        Metascore","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","Votes:
420,231
| Gross:
$138.53M
| Top 250:
#212",Oliver Stone,"['Charlie Sheen', 'Tom Berenger']"
40,"194.
Ratatouille
(2007)",(2007),G,111 min,"Animation, Adventure, Comedy",8.1,"96        
        Metascore",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Votes:
754,832
| Gross:
$206.45M
| Top 250:
#213",Brad Bird,"['Jan Pinkava', 'Brad Garrett']"
41,"195.
The Exorcist
(1973)",(1973),R,122 min,Horror,8.1,"81        
        Metascore","When a 12 year old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.","Votes:
416,224
| Gross:
$232.91M
| Top 250:
#225",William Friedkin,"['Ellen Burstyn', 'Max von Sydow']"
42,"196.
12 Years a Slave
(2013)",(2013),R,134 min,"Biography, Drama, History",8.1,"96        
        Metascore","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Votes:
710,569
| Gross:
$56.67M
| Top 250:
#181",Solomon Northup,"['Steve McQueen', 'Chiwetel Ejiofor']"
43,"197.
The Terminator
(1984)",(1984),R,107 min,"Action, Sci-Fi",8.1,"84        
        Metascore","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.","Votes:
877,745
| Gross:
$38.40M
| Top 250:
#216",James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton']"
44,"198.
Jaws
(1975)",(1975),PG,124 min,"Adventure, Thriller",8.1,"87        
        Metascore","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Votes:
617,368
| Gross:
$260.00M
| Top 250:
#203",Steven Spielberg,"['Roy Scheider', 'Robert Shaw']"
45,"199.
Fargo
(1996)",(1996),R,98 min,"Crime, Thriller",8.1,"86        
        Metascore",Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Votes:
687,318
| Gross:
$24.61M
| Top 250:
#170",Joel Coen,"['Ethan Coen', 'William H. Macy']"
46,"200.
Room
(I) (2015)",(I) (2015),R,118 min,"Drama, Thriller",8.1,"86        
        Metascore","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","Votes:
427,906
| Gross:
$14.68M
| Top 250:
#205",Lenny Abrahamson,"['Brie Larson', 'Jacob Tremblay']"
0,"201.
The Handmaiden
(2016)",(2016),Not Rated,145 min,"Drama, Romance, Thriller",8.1,"84        
        Metascore","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Votes:
153,946
| Gross:
$2.01M
| Top 250:
#239",Park Chan-wook,"['Kim Min-hee', 'Ha Jung-woo']"
1,"202.
Ben-Hur
(1959)",(1959),G,212 min,"Adventure, Drama",8.1,"90        
        Metascore","After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.","Votes:
242,979
| Gross:
$74.70M
| Top 250:
#183",William Wyler,"['Charlton Heston', 'Jack Hawkins']"
2,"203.
Dead Poets Society
(1989)",(1989),PG,128 min,"Comedy, Drama",8.1,"79        
        Metascore",Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,"Votes:
502,697
| Gross:
$95.86M
| Top 250:
#204",Peter Weir,"['Robin Williams', 'Robert Sean Leonard']"
3,"204.
The Wizard of Oz
(1939)",(1939),PG,102 min,"Adventure, Family, Fantasy",8.1,"92        
        Metascore","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Votes:
406,810
| Gross:
$2.08M
| Top 250:
#222",Victor Fleming,"['George Cukor', 'Mervyn LeRoy']"
4,"205.
Into the Wild
(2007)",(2007),R,148 min,"Adventure, Biography, Drama",8.1,"73        
        Metascore","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","Votes:
630,845
| Gross:
$18.35M
| Top 250:
#221",Sean Penn,"['Emile Hirsch', 'Vince Vaughn']"
5,"206.
Inside Out
(I) (2015)",(I) (2015),PG,95 min,"Animation, Adventure, Comedy",8.1,"94        
        Metascore","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Votes:
727,268
| Gross:
$356.46M
| Top 250:
#162",Pete Docter,"['Ronnie Del Carmen', 'Amy Poehler']"
6,"207.
The Deer Hunter
(1978)",(1978),R,183 min,"Drama, War",8.1,"86        
        Metascore",An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"Votes:
344,197
| Gross:
$48.98M
| Top 250:
#191",Michael Cimino,"['Robert De Niro', 'Christopher Walken']"
7,"208.
Logan
(2017)",(2017),R,137 min,"Action, Drama, Sci-Fi",8.1,"77        
        Metascore","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Votes:
777,877
| Gross:
$226.28M
| Top 250:
#215",James Mangold,"['Hugh Jackman', 'Patrick Stewart']"
8,"209.
The Sound of Music
(1965)",(1965),G,172 min,"Biography, Drama, Family",8.1,"63        
        Metascore",A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Votes:
241,757
| Gross:
$163.21M
| Top 250:
#241",Robert Wise,"['Julie Andrews', 'Christopher Plummer']"
9,"210.
Trainspotting
(1996)",(1996),R,93 min,Drama,8.1,"83        
        Metascore","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.","Votes:
695,916
| Gross:
$16.50M
| Top 250:
#166",Danny Boyle,"['Ewan McGregor', 'Ewen Bremner']"
10,"211.
Memories of Murder
(2003)",(2003),Not Rated,132 min,"Crime, Drama, Mystery",8.1,"82        
        Metascore","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Votes:
191,827
| Gross:
$0.01M
| Top 250:
#194",Bong Joon Ho,"['Song Kang-ho', 'Kim Sang-kyung']"
11,"212.
Million Dollar Baby
(2004)",(2004),PG-13,132 min,"Drama, Sport",8.1,"86        
        Metascore",A determined woman works with a hardened boxing trainer to become a professional.,"Votes:
695,349
| Gross:
$100.49M
| Top 250:
#174",Clint Eastwood,"['Hilary Swank', 'Clint Eastwood']"
12,"213.
Before Sunrise
(1995)",(1995),R,101 min,"Drama, Romance",8.1,"77        
        Metascore","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Votes:
316,323
| Gross:
$5.54M
| Top 250:
#179",Richard Linklater,"['Ethan Hawke', 'Julie Delpy']"
13,"214.
How to Train Your Dragon
(2010)",(2010),PG,98 min,"Animation, Action, Adventure",8.1,"75        
        Metascore","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Votes:
752,845
| Gross:
$217.58M
| Top 250:
#201",Dean DeBlois,"['Chris Sanders', 'Jay Baruchel']"
14,"215.
Groundhog Day
(1993)",(1993),PG,101 min,"Comedy, Drama, Fantasy",8.1,"72        
        Metascore","A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.","Votes:
644,585
| Gross:
$70.91M
| Top 250:
#224",Harold Ramis,"['Bill Murray', 'Andie MacDowell']"
15,"216.
Monsters, Inc.
(2001)",(2001),G,92 min,"Animation, Adventure, Comedy",8.1,"79        
        Metascore","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Votes:
922,825
| Gross:
$289.92M
| Top 250:
#202",Pete Docter,"['David Silverman', 'Lee Unkrich']"
16,"217.
Rush
(I) (2013)",(I) (2013),R,123 min,"Action, Biography, Drama",8.1,"74        
        Metascore",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Votes:
487,090
| Gross:
$26.95M
| Top 250:
#218",James Hunt,"['Niki Lauda', 'Ron Howard']"
17,"218.
It Happened One Night
(1934)",(1934),Passed,105 min,"Comedy, Romance",8.1,"87        
        Metascore","A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.","Votes:
106,315
| Gross:
$4.36M
| Top 250:
#242",Frank Capra,"['Clark Gable', 'Claudette Colbert']"
18,"219.
Gran Torino
(2008)",(2008),R,116 min,Drama,8.1,"72        
        Metascore","Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.","Votes:
784,295
| Gross:
$148.10M
| Top 250:
#171",Clint Eastwood,"['Clint Eastwood', 'Bee Vang']"
