Unnamed: 0,title,year,certificate,time,genre,rating,metascore,simple_desc,votes,directors,actors,title_url
0,"1.
The Shawshank Redemption
(1994)",(1994),R,142 min,Drama,9.3,"82        
        Metascore","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","Votes:
2,726,661
| Gross:
$28.34M
| Top 250:
#1",Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']",imdb.com/title/tt0111161/?ref_=adv_li_tt
1,"2.
The Godfather
(1972)",(1972),R,175 min,"Crime, Drama",9.2,"100        
        Metascore",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"Votes:
1,895,595
| Gross:
$134.97M
| Top 250:
#2",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']",imdb.com/title/tt0068646/?ref_=adv_li_tt
2,"3.
The Dark Knight
(2008)",(2008),PG-13,152 min,"Action, Crime, Drama",9.0,"84        
        Metascore","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Votes:
2,699,618
| Gross:
$534.86M
| Top 250:
#3",Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",imdb.com/title/tt0468569/?ref_=adv_li_tt
3,"4.
Schindler's List
(1993)",(1993),R,195 min,"Biography, Drama, History",9.0,"95        
        Metascore","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Votes:
1,376,892
| Gross:
$96.90M
| Top 250:
#6",Oskar Schindler,"['Steven Spielberg', 'Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']",imdb.com/title/tt0108052/?ref_=adv_li_tt
4,"5.
The Lord of the Rings: The Return of the King
(2003)",(2003),PG-13,201 min,"Action, Adventure, Drama",9.0,"94        
        Metascore",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Votes:
1,875,746
| Gross:
$377.85M
| Top 250:
#7",Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']",imdb.com/title/tt0167260/?ref_=adv_li_tt
5,"6.
12 Angry Men
(1957)",(1957),Approved,96 min,"Crime, Drama",9.0,"97        
        Metascore",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Votes:
806,438
| Gross:
$4.36M
| Top 250:
#5",Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']",imdb.com/title/tt0050083/?ref_=adv_li_tt
6,"7.
The Godfather Part II
(1974)",(1974),R,202 min,"Crime, Drama",9.0,"90        
        Metascore","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Votes:
1,292,657
| Gross:
$57.30M
| Top 250:
#4",Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",imdb.com/title/tt0071562/?ref_=adv_li_tt
7,"8.
Pulp Fiction
(1994)",(1994),R,154 min,"Crime, Drama",8.9,"95        
        Metascore","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Votes:
2,094,698
| Gross:
$107.93M
| Top 250:
#8",Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']",imdb.com/title/tt0110912/?ref_=adv_li_tt
8,"9.
Inception
(2010)",(2010),PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,"74        
        Metascore","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Votes:
2,395,994
| Gross:
$292.58M
| Top 250:
#14",Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']",imdb.com/title/tt1375666/?ref_=adv_li_tt
9,"10.
The Lord of the Rings: The Fellowship of the Ring
(2001)",(2001),PG-13,178 min,"Action, Adventure, Drama",8.8,"92        
        Metascore",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Votes:
1,904,863
| Gross:
$315.54M
| Top 250:
#9",Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']",imdb.com/title/tt0120737/?ref_=adv_li_tt
10,"11.
Fight Club
(1999)",(1999),R,139 min,Drama,8.8,"66        
        Metascore",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"Votes:
2,169,799
| Gross:
$37.03M
| Top 250:
#12",David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']",imdb.com/title/tt0137523/?ref_=adv_li_tt
11,"12.
Forrest Gump
(1994)",(1994),PG-13,142 min,"Drama, Romance",8.8,"82        
        Metascore","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Votes:
2,120,905
| Gross:
$330.25M
| Top 250:
#11",Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']",imdb.com/title/tt0109830/?ref_=adv_li_tt
12,"13.
The Lord of the Rings: The Two Towers
(2002)",(2002),PG-13,179 min,"Action, Adventure, Drama",8.8,"87        
        Metascore","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Votes:
1,693,439
| Gross:
$342.55M
| Top 250:
#13",Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']",imdb.com/title/tt0167261/?ref_=adv_li_tt
13,"14.
The Good, the Bad and the Ugly
(1966)",(1966),Approved,178 min,"Adventure, Western",8.8,"90        
        Metascore",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Votes:
772,950
| Gross:
$6.10M
| Top 250:
#10",Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']",imdb.com/title/tt0060196/?ref_=adv_li_tt
14,"18.
The Matrix
(1999)",(1999),R,136 min,"Action, Sci-Fi",8.7,"73        
        Metascore","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Votes:
1,945,161
| Gross:
$171.48M
| Top 250:
#16",Lana Wachowski,"['Lilly Wachowski', 'Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",imdb.com/title/tt0133093/?ref_=adv_li_tt
15,"19.
Goodfellas
(1990)",(1990),R,145 min,"Biography, Crime, Drama",8.7,"91        
        Metascore","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Votes:
1,183,189
| Gross:
$46.84M
| Top 250:
#17",Henry Hill,"['Martin Scorsese', 'Robert De Niro', 'Ray Liotta', 'Joe Pesci']",imdb.com/title/tt0099685/?ref_=adv_li_tt
16,"20.
One Flew Over the Cuckoo's Nest
(1975)",(1975),R,133 min,Drama,8.7,"84        
        Metascore","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","Votes:
1,022,909
| Gross:
$112.00M
| Top 250:
#18",Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']",imdb.com/title/tt0073486/?ref_=adv_li_tt
17,"21.
Star Wars: Episode V - The Empire Strikes Back
(1980)",(1980),PG,124 min,"Action, Adventure, Fantasy",8.7,"82        
        Metascore","After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Votes:
1,312,661
| Gross:
$290.48M
| Top 250:
#15",Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']",imdb.com/title/tt0080684/?ref_=adv_li_tt
18,"23.
Interstellar
(2014)",(2014),PG-13,169 min,"Adventure, Drama, Sci-Fi",8.6,"74        
        Metascore",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Votes:
1,888,925
| Gross:
$188.02M
| Top 250:
#25",Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']",imdb.com/title/tt0816692/?ref_=adv_li_tt
19,"24.
Se7en
(1995)",(1995),R,127 min,"Crime, Drama, Mystery",8.6,"65        
        Metascore","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Votes:
1,684,939
| Gross:
$100.13M
| Top 250:
#19",David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']",imdb.com/title/tt0114369/?ref_=adv_li_tt
20,"25.
The Silence of the Lambs
(1991)",(1991),R,118 min,"Crime, Drama, Thriller",8.6,"86        
        Metascore","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Votes:
1,457,966
| Gross:
$130.74M
| Top 250:
#22",Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']",imdb.com/title/tt0102926/?ref_=adv_li_tt
21,"26.
Star Wars
(1977)",(1977),PG,121 min,"Action, Adventure, Fantasy",8.6,"90        
        Metascore","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Votes:
1,385,042
| Gross:
$322.74M
| Top 250:
#28",George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']",imdb.com/title/tt0076759/?ref_=adv_li_tt
22,"27.
Terminator 2: Judgment Day
(1991)",(1991),R,137 min,"Action, Sci-Fi",8.6,"75        
        Metascore","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.","Votes:
1,116,553
| Gross:
$204.84M
| Top 250:
#29",James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']",imdb.com/title/tt0103064/?ref_=adv_li_tt
23,"28.
The Green Mile
(1999)",(1999),R,189 min,"Crime, Drama, Fantasy",8.6,"61        
        Metascore","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Votes:
1,325,622
| Gross:
$136.80M
| Top 250:
#27",Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']",imdb.com/title/tt0120689/?ref_=adv_li_tt
24,"29.
Spirited Away
(2001)",(2001),PG,125 min,"Animation, Adventure, Family",8.6,"96        
        Metascore","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.","Votes:
782,319
| Gross:
$10.06M
| Top 250:
#31",Hayao Miyazaki,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']",imdb.com/title/tt0245429/?ref_=adv_li_tt
25,"30.
Saving Private Ryan
(1998)",(1998),R,169 min,"Drama, War",8.6,"91        
        Metascore","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Votes:
1,414,772
| Gross:
$216.54M
| Top 250:
#23",Steven Spielberg,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']",imdb.com/title/tt0120815/?ref_=adv_li_tt
26,"31.
City of God
(2002)",(2002),R,130 min,"Crime, Drama",8.6,"79        
        Metascore","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Votes:
767,022
| Gross:
$7.56M
| Top 250:
#24",Fernando Meirelles,"['Kátia Lund', 'Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele']",imdb.com/title/tt0317248/?ref_=adv_li_tt
27,"32.
Life Is Beautiful
(1997)",(1997),PG-13,116 min,"Comedy, Drama, Romance",8.6,"59        
        Metascore","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Votes:
707,032
| Gross:
$57.60M
| Top 250:
#26",Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']",imdb.com/title/tt0118799/?ref_=adv_li_tt
28,"33.
Seven Samurai
(1954)",(1954),Not Rated,207 min,"Action, Drama",8.6,"98        
        Metascore","Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","Votes:
350,994
| Gross:
$0.27M
| Top 250:
#21",Akira Kurosawa,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']",imdb.com/title/tt0047478/?ref_=adv_li_tt
29,"34.
It's a Wonderful Life
(1946)",(1946),PG,130 min,"Drama, Family, Fantasy",8.6,"89        
        Metascore",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Votes:
469,710
| Top 250:
#20",Frank Capra,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']",imdb.com/title/tt0038650/?ref_=adv_li_tt
30,"35.
Harakiri
(1962)",(1962),Not Rated,133 min,"Action, Drama, Mystery",8.6,"85        
        Metascore","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","Votes:
60,111
| Top 250:
#45",Masaki Kobayashi,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurô Tanba']",imdb.com/title/tt0056058/?ref_=adv_li_tt
31,"37.
Gladiator
(2000)",(2000),R,155 min,"Action, Adventure, Drama",8.5,"67        
        Metascore",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Votes:
1,525,724
| Gross:
$187.71M
| Top 250:
#37",Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']",imdb.com/title/tt0172495/?ref_=adv_li_tt
32,"38.
Parasite
(2019)",(2019),R,132 min,"Drama, Thriller",8.5,"96        
        Metascore",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"Votes:
841,401
| Gross:
$53.37M
| Top 250:
#34",Bong Joon Ho,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-sik']",imdb.com/title/tt6751668/?ref_=adv_li_tt
33,"39.
Whiplash
(2014)",(2014),R,106 min,"Drama, Music",8.5,"89        
        Metascore",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Votes:
893,508
| Gross:
$13.09M
| Top 250:
#40",Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']",imdb.com/title/tt2582802/?ref_=adv_li_tt
34,"40.
The Departed
(2006)",(2006),R,151 min,"Crime, Drama, Thriller",8.5,"85        
        Metascore",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Votes:
1,347,531
| Gross:
$132.38M
| Top 250:
#39",Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']",imdb.com/title/tt0407887/?ref_=adv_li_tt
35,"41.
Back to the Future
(1985)",(1985),PG,116 min,"Adventure, Comedy, Sci-Fi",8.5,"87        
        Metascore","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Votes:
1,229,023
| Gross:
$210.61M
| Top 250:
#30",Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']",imdb.com/title/tt0088763/?ref_=adv_li_tt
36,"42.
The Prestige
(2006)",(2006),PG-13,130 min,"Drama, Mystery, Sci-Fi",8.5,"66        
        Metascore","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Votes:
1,355,837
| Gross:
$53.09M
| Top 250:
#41",Christopher Nolan,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']",imdb.com/title/tt0482571/?ref_=adv_li_tt
37,"43.
Alien
(1979)",(1979),R,117 min,"Horror, Sci-Fi",8.5,"89        
        Metascore",The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,"Votes:
897,548
| Gross:
$78.90M
| Top 250:
#51",Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']",imdb.com/title/tt0078748/?ref_=adv_li_tt
38,"44.
Léon: The Professional
(1994)",(1994),R,110 min,"Action, Crime, Drama",8.5,"64        
        Metascore","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Votes:
1,181,343
| Gross:
$19.50M
| Top 250:
#35",Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']",imdb.com/title/tt0110413/?ref_=adv_li_tt
39,"45.
Psycho
(1960)",(1960),R,109 min,"Horror, Mystery, Thriller",8.5,"97        
        Metascore","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.","Votes:
683,115
| Gross:
$32.00M
| Top 250:
#33",Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']",imdb.com/title/tt0054215/?ref_=adv_li_tt
40,"46.
Apocalypse Now
(1979)",(1979),R,147 min,"Drama, Mystery, War",8.5,"94        
        Metascore",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Votes:
678,458
| Gross:
$83.47M
| Top 250:
#53",Francis Ford Coppola,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']",imdb.com/title/tt0078788/?ref_=adv_li_tt
41,"47.
The Lion King
(1994)",(1994),G,88 min,"Animation, Adventure, Drama",8.5,"88        
        Metascore","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Votes:
1,077,603
| Gross:
$422.78M
| Top 250:
#36",Roger Allers,"['Rob Minkoff', 'Matthew Broderick', 'Jeremy Irons', 'James Earl Jones']",imdb.com/title/tt0110357/?ref_=adv_li_tt
42,"48.
The Pianist
(2002)",(2002),R,150 min,"Biography, Drama, Music",8.5,"85        
        Metascore",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Votes:
849,143
| Gross:
$32.57M
| Top 250:
#32",Roman Polanski,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']",imdb.com/title/tt0253474/?ref_=adv_li_tt
43,"49.
The Usual Suspects
(1995)",(1995),R,106 min,"Crime, Drama, Mystery",8.5,"77        
        Metascore","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Votes:
1,099,294
| Gross:
$23.34M
| Top 250:
#42",Bryan Singer,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']",imdb.com/title/tt0114814/?ref_=adv_li_tt
44,"50.
American History X
(1998)",(1998),R,119 min,"Crime, Drama",8.5,"62        
        Metascore",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"Votes:
1,137,754
| Gross:
$6.72M
| Top 250:
#38",Tony Kaye,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']",imdb.com/title/tt0120586/?ref_=adv_li_tt
45,"51.
The Intouchables
(2011)",(2011),R,112 min,"Biography, Comedy, Drama",8.5,"57        
        Metascore","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Votes:
875,613
| Gross:
$13.18M
| Top 250:
#46",Olivier Nakache,"['Éric Toledano', 'François Cluzet', 'Omar Sy', 'Anne Le Ny']",imdb.com/title/tt1675434/?ref_=adv_li_tt
46,"52.
Once Upon a Time in the West
(1968)",(1968),PG-13,165 min,Western,8.5,"82        
        Metascore",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"Votes:
335,281
| Gross:
$5.32M
| Top 250:
#48",Sergio Leone,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']",imdb.com/title/tt0064116/?ref_=adv_li_tt
47,"53.
Casablanca
(1942)",(1942),PG,102 min,"Drama, Romance, War",8.5,"100        
        Metascore",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"Votes:
580,476
| Gross:
$1.02M
| Top 250:
#43",Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']",imdb.com/title/tt0034583/?ref_=adv_li_tt
48,"54.
Grave of the Fireflies
(1988)",(1988),Not Rated,89 min,"Animation, Drama, War",8.5,"94        
        Metascore",A young boy and his little sister struggle to survive in Japan during World War II.,"Votes:
284,707
| Top 250:
#44",Isao Takahata,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi', 'Yoshiko Shinohara']",imdb.com/title/tt0095327/?ref_=adv_li_tt
49,"55.
Rear Window
(1954)",(1954),PG,112 min,"Mystery, Thriller",8.5,"100        
        Metascore","A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","Votes:
499,358
| Gross:
$36.76M
| Top 250:
#50",Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']",imdb.com/title/tt0047396/?ref_=adv_li_tt
50,"56.
Cinema Paradiso
(1988)",(1988),R,155 min,"Drama, Romance",8.5,"80        
        Metascore",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Votes:
266,523
| Gross:
$11.99M
| Top 250:
#49",Giuseppe Tornatore,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili', 'Isa Danieli']",imdb.com/title/tt0095765/?ref_=adv_li_tt
51,"58.
Modern Times
(1936)",(1936),G,87 min,"Comedy, Drama, Romance",8.5,"96        
        Metascore",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Votes:
246,877
| Gross:
$0.16M
| Top 250:
#47",Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']",imdb.com/title/tt0027977/?ref_=adv_li_tt
52,"59.
City Lights
(1931)",(1931),G,87 min,"Comedy, Drama, Romance",8.5,"99        
        Metascore","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Votes:
187,612
| Gross:
$0.02M
| Top 250:
#52",Charles Chaplin,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers']",imdb.com/title/tt0021749/?ref_=adv_li_tt
53,"61.
Joker
(I) (2019)",(I) (2019),R,122 min,"Crime, Drama, Thriller",8.4,"59        
        Metascore","The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.","Votes:
1,336,748
| Gross:
$335.45M
| Top 250:
#76",Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']",imdb.com/title/tt7286456/?ref_=adv_li_tt
54,"62.
Spider-Man: Into the Spider-Verse
(2018)",(2018),PG,117 min,"Animation, Action, Adventure",8.4,"87        
        Metascore","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Votes:
553,233
| Gross:
$190.24M
| Top 250:
#66",Bob Persichetti,"['Peter Ramsey', 'Rodney Rothman', 'Shameik Moore', 'Jake Johnson']",imdb.com/title/tt4633694/?ref_=adv_li_tt
55,"63.
Avengers: Endgame
(2019)",(2019),PG-13,181 min,"Action, Adventure, Drama",8.4,"78        
        Metascore","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Votes:
1,166,262
| Gross:
$858.37M
| Top 250:
#78",Anthony Russo,"['Joe Russo', 'Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",imdb.com/title/tt4154796/?ref_=adv_li_tt
56,"64.
Django Unchained
(2012)",(2012),R,165 min,"Drama, Western",8.4,"81        
        Metascore","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","Votes:
1,587,359
| Gross:
$162.81M
| Top 250:
#55",Quentin Tarantino,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington']",imdb.com/title/tt1853728/?ref_=adv_li_tt
57,"65.
American Beauty
(1999)",(1999),R,122 min,Drama,8.4,"84        
        Metascore",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Votes:
1,168,735
| Gross:
$130.10M
| Top 250:
#67",Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']",imdb.com/title/tt0169547/?ref_=adv_li_tt
58,"66.
Raiders of the Lost Ark
(1981)",(1981),PG,115 min,"Action, Adventure",8.4,"85        
        Metascore","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","Votes:
980,882
| Gross:
$248.16M
| Top 250:
#56",Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']",imdb.com/title/tt0082971/?ref_=adv_li_tt
59,"67.
The Shining
(1980)",(1980),R,146 min,"Drama, Horror",8.4,"66        
        Metascore","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Votes:
1,041,698
| Gross:
$44.02M
| Top 250:
#61",Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']",imdb.com/title/tt0081505/?ref_=adv_li_tt
60,"68.
Oldboy
(2003)",(2003),R,120 min,"Action, Drama, Mystery",8.4,"77        
        Metascore","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Votes:
591,733
| Gross:
$0.71M
| Top 250:
#70",Park Chan-wook,"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']",imdb.com/title/tt0364569/?ref_=adv_li_tt
61,"69.
Your Name.
(2016)",(2016),PG,106 min,"Animation, Drama, Fantasy",8.4,"79        
        Metascore","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Votes:
280,872
| Gross:
$5.02M
| Top 250:
#82",Makoto Shinkai,"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita', 'Aoi Yûki']",imdb.com/title/tt5311514/?ref_=adv_li_tt
